epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.536,1.08278,3.45017,1.40032,0.02451,0.99539,0.28133,0.18582,0.92711,3.63603,1.33062,0.000294811,0.000294811,0.000294811
2,278.922,1.0004,2.50898,1.33394,0.51481,0.50383,0.55282,0.3724,1.00899,2.95,1.43512,0.000585974,0.000585974,0.000585974
3,504.564,0.99439,2.20162,1.33868,0.64186,0.6049,0.67524,0.42598,1.20885,3.7393,1.79656,0.000865139,0.000865139,0.000865139
4,627.136,0.9879,1.87179,1.29643,0.67879,0.75196,0.73834,0.52402,0.93604,2.41228,1.38286,0.000855005,0.000855005,0.000855005
5,741.274,1.02489,1.85879,1.34296,0.6865,0.82865,0.80548,0.56794,1.02068,2.13657,1.46872,0.000837007,0.000837007,0.000837007
6,851.991,1.00103,1.70956,1.31014,0.67862,0.82207,0.77531,0.54812,1.0606,1.96875,1.49782,0.000819009,0.000819009,0.000819009
7,960.072,0.9914,1.6039,1.28696,0.71635,0.8781,0.83727,0.58402,1.05788,1.59011,1.42539,0.000801011,0.000801011,0.000801011
8,1126.56,0.96189,1.54046,1.28418,0.769,0.92213,0.83965,0.62517,0.97647,1.45791,1.35589,0.000783013,0.000783013,0.000783013
9,1327.43,0.95844,1.43413,1.25725,0.73038,0.84291,0.7985,0.58742,0.97771,1.59941,1.3554,0.000765014,0.000765014,0.000765014
10,1524.95,0.92093,1.41077,1.23424,0.73556,0.875,0.82505,0.61086,0.97313,1.41424,1.358,0.000747016,0.000747016,0.000747016
11,1733.71,0.88897,1.33035,1.21345,0.72322,0.76188,0.81701,0.59934,0.98597,1.49455,1.32725,0.000729018,0.000729018,0.000729018
12,1861.6,0.9391,1.2874,1.27665,0.65431,0.89017,0.80487,0.60858,0.96057,1.25253,1.31357,0.00071102,0.00071102,0.00071102
13,2040.94,0.87346,1.21455,1.2087,0.72819,0.94826,0.8468,0.64534,0.96524,1.31281,1.31612,0.000693022,0.000693022,0.000693022
14,2243.83,0.88129,1.15637,1.20566,0.79102,0.92185,0.86332,0.65653,0.9671,1.09864,1.30266,0.000675023,0.000675023,0.000675023
15,2444.95,0.89342,1.1308,1.20393,0.78146,0.83038,0.8386,0.62442,0.94501,1.20455,1.29311,0.000657025,0.000657025,0.000657025
16,2645.51,0.87753,1.09798,1.18851,0.81046,0.92192,0.87999,0.6784,0.95044,1.09857,1.30045,0.000639027,0.000639027,0.000639027
17,2769.32,0.89046,1.13994,1.21747,0.75848,0.94776,0.86025,0.63273,0.96034,1.00907,1.31879,0.000621029,0.000621029,0.000621029
